item_name,text,Type,Answers,Optional,Values,
DSI20,"20. Experienced unwanted physical contact (crowded, pushed)",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI21,21. Was misunderstood,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI22,22. Was embarrassed,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI23,23. Had your sleep disturbed,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI24,24. Forgot something,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI25,25. Feared illness/pregnancy,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI26,26. Experienced illness/physical discomfort,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI27,27. Someone borrowed something without your permission,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI28,28. Your property was damaged,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI29,"29. Had minor accident (broke something, tore clothing)",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI30,30. Thought about the future,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI31,31. Ran out of food/personal article,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI32,32. Argued with spouse/boyfriend/girlfriend,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI33,33. Argued with another person,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI34,34. Waited longer than you wanted,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI35,35. Interrupted while thinking/relaxing,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI36,36. Someone “cut” ahead of you in a line,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI37,37. Performed poorly at sport/game,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI38,38. Did something that you did not want to do,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI39,39. Unable to complete all plans for today,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI40,40. Had car trouble,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI41,41. Had difficulty in traffic,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI42,42. Money problems,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI43,43. Store lacked a desired item,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI44,44. Misplaced something,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI45,45. Bad weather,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI46,"46. Unexpected expenses (fines, traffic ticket, etc)",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI47,47. Had confrontation with an authority figure,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI48,48. Heard some bad news,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI49,49. Concerned over personal appearance,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI50,50. Exposed to feared situation or object,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI51,"51. Exposed to upsetting TV show, movie, book",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI52,"52. “Pet peeve” violated (someone fails to knock, etc.)",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI53,53. Failed to understand something,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI54,54. Worried about another’s problems,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI55,55. Experienced narrow escape from danger,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI56,"56. Stopped unwanted personal habit (overeating, smoking, nail-biting)",radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI57,57. Had problem with the kid(s),radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI58,58.Was late for work/appointment,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI_add_instruct,"Any stressors that we missed? Please list below ",instruct,,Yes,,
DSI59,59. Insert Stressor,text,,Yes,,
DSI59b,<i>Amount of stress</i>,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI60,60. Insert Stressor:,text,,Yes,,
DSI60b,<i>Amount of stress</i>,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
SQP,Please proceed to the next page.,instruct,,,,
,,,,,,
