item_name,text,Type,Answers,Values,Optional,score: env_beh,btn_width,side_text,
env_beh,"I reduce the amount of water I use (e.g. shorter showers, not running tap water unnecessarily during toothbrushing & dishwashing, lowering frequency of dishwaster usage and toilet flushing, waiting for a full load before washing dishes and clothes, collecting rainwater, reducing or avoiding using sprinklers in the garden, using water stations for hydration rather than purchasing bottled water).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I decide not to buy something becuase I think it has too much packaging or that its packaging is non-eco friendly/biodegradable.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy package free items (including cosmetics, toiletries, using refill stations, produce).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I buy products made of recycled materials.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy products made of sustainable, natural or biodegradable materials.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I recycle as much as I possibly can (newspapers, cans, plastics and glass).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I compost household food waste (my green kitchen waste is composted in the garden or at a municipal facility).,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I reuse household waste items that would otherwise go in the bin (e.g. jars, bottles, gift wrap).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I purchase second-hand goods.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy and reuse items which have multiple uses (bags for life, reuasable coffee cup/water bottle) and avoid single use items (such as disposable coffee cups, plastic bags, plastic water bottles).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy environmentally friendly alternatives to toxic products (e.g natural deoderant, organic produce) or avoid the chemical product altogether (e.g hairspray/growing own produce). ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I eat food which is locally or home grown/farmed.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I eat food which is in season.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I actively look for recycling bins to dispose of recyclable items, including when I am out of my house and in public areas.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I take initiative to find sustainable ways to dispose of your not-locally recycled waste (e.g. terracycling, products that would usually be rubbish).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I buy fairtrade and/or sustainably sourced food.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I donate clothes and furniture to charity.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I reduce my food waste (donate food to charities, avoid buying too much food, home freezing etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I limit or reduce my consumption of animal products (dairy, poultry, fish etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I eat sustainably sourced animal products (dairy, poultry, fish etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy organic produce (e.g. food, toiletries, cosmetics).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I buy goods and products from local or independent businesses rather than large corperations. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
,,,,,,,,,
